team,points,round,league
/Barcelona,82.4821,1,primera
/Real-Madrid,76.5209,1,primera
/Atletico-Madrid,71.8963,1,primera
/Villarreal,62.4482,1,primera
/Sevilla,61.3249,1,primera
/Real-Sociedad,56.2378,1,primera
/Valencia-Cf,55.0296,1,primera
/Granada,54.0438,1,primera
/Athletic-Bilbao,53.3817,1,primera
/Getafe,52.2407,1,primera
/Celta,50.1383,1,primera
/Levante,48.1424,1,primera
/Betis,44.7949,1,primera
/Cadiz,43.7435,1,primera
/Eibar,43.5542,1,primera
/Osasuna,43.1657,1,primera
/Valladolid,37.9521,1,primera
/Huesca,37.7615,1,primera
/Alaves,37.6814,1,primera
/Elche,29.9416,1,primera
/Leganes,74.1196,1,segunda
/Almeria,70.832,1,segunda
/Sporting-Gijon,66.7414,1,segunda
/Malaga,66.2442,1,segunda
/Espanyol,66.406,1,segunda
/Mallorca,66.1578,1,segunda
/Girona-Fc,64.4338,1,segunda
/Ad-Alcorcon,63.2597,1,segunda
/Real-Oviedo,62.7436,1,segunda
/Tenerife,61.8112,1,segunda
/Fuenlabrada,60.1117,1,segunda
/Rayo-Vallecano,59.8967,1,segunda
/Ud-Palmas,58.425,1,segunda
/Real-Zaragoza,57.1189,1,segunda
/Mirandes,54.4946,1,segunda
/Albacete,54.5323,1,segunda
/Ponferradina-Sd,52.1018,1,segunda
/Lugo,51.4157,1,segunda
/Ud-Logrones,49.6091,1,segunda
/Sabadell,42.3023,1,segunda
/Cd-Castellon,27.7306,1,segunda
/Cartagena,26.27,1,segunda
